task_id	stratum	category	difficulty	budget	verifier_timeout_s	daytona_base
calibforge__contrastive_solver__data-science_20260610_111012_003	contrastive/nogap	data-science	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__data-science_20260610_112157_005	contrastive/nogap	data-science	medium	300.0	300.0	tb2verifier
calibforge__contrastive_solver__data-science_20260611_210349_005	contrastive/nogap	data-science	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__data-science_20260615_143301_001	contrastive/nogap	data-science	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__data-science_20260615_143956_007	contrastive/nogap	data-science	medium	1800.0	1800.0	tb2verifier
calibforge__contrastive_solver__data-science_20260617_104707_001	contrastive/nogap	data-science	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__data-science_20260617_104707_006	contrastive/nogap	data-science	medium	3600.0	3600.0	tb2verifier
calibforge__contrastive_solver__data-science_20260617_104707_007	contrastive/nogap	data-science	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__debugging_20260429_103257_004	contrastive/nogap	debugging	medium	600.0	180.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260501_172213_005	contrastive/gap	debugging	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260508_045920_003	contrastive/nogap	debugging	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260509_205636_003	contrastive/nogap	debugging	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260510_125534_005	contrastive/nogap	debugging	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260601_053159_003	contrastive/gap	debugging	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__debugging_20260603_181444_004	contrastive/gap	debugging	easy	600.0	360.0	tb2verifier
calibforge__contrastive_solver__debugging_20260604_193056_001	contrastive/gap	debugging	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__debugging_20260604_194036_005	contrastive/gap	debugging	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__debugging_20260605_015435_001	contrastive/nogap	data-processing	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__debugging_20260606_153537_004	contrastive/gap	debugging	medium	750.0	360.0	tb2verifier
calibforge__contrastive_solver__debugging_20260606_172554_002	contrastive/gap	debugging	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__debugging_20260610_112157_004	contrastive/gap	debugging	hard	900.0	360.0	tb2verifier
calibforge__contrastive_solver__debugging_20260612_191200_004	contrastive/gap	debugging	medium	900.0	360.0	tb2verifier
calibforge__contrastive_solver__debugging_20260613_152233_004	contrastive/gap	debugging	easy	600.0	300.0	tb2verifier
calibforge__contrastive_solver__debugging_20260615_105532_001	contrastive/gap	debugging	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__debugging_20260617_104707_005	contrastive/nogap	debugging	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__debugging_20260618_093107_002	contrastive/gap	debugging	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260422_235124_002	contrastive/nogap	file-operations	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260501_172213_005	contrastive/nogap	file-operations	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260508_153434_002	contrastive/nogap	file-operations	medium	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260509_065529_003	contrastive/nogap	file-operations	hard	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260510_130518_001	contrastive/nogap	file-operations	medium	600.0	600.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260513_204536_002	contrastive/nogap	file-operations	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__file-operations_20260604_003113_002	contrastive/nogap	file-operations	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260604_194036_004	contrastive/nogap	file-operations	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260607_104421_002	contrastive/nogap	file-operations	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260610_111702_003	contrastive/gap	file-operations	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260612_191200_001	contrastive/nogap	file-operations	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260614_141608_005	contrastive/nogap	file-operations	medium	1200.0	300.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260616_094815_005	contrastive/nogap	file-operations	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__file-operations_20260617_104707_003	contrastive/nogap	file-operations	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__games_20260604_003113_001	contrastive/nogap	games	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__games_20260604_193356_001	contrastive/gap	games	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__games_20260606_153537_001	contrastive/nogap	games	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__machine-learning_20260507_170244_002	contrastive/nogap	machine-learning	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__machine-learning_20260615_143301_003	contrastive/nogap	machine-learning	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__machine-learning_20260618_093107_003	contrastive/nogap	machine-learning	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__machine-learning_20260620_171154_003	contrastive/nogap	machine-learning	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__mathematics_20260427_204204_004	contrastive/nogap	mathematics	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260507_093408_002	contrastive/nogap	mathematics	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260508_153434_002	contrastive/nogap	mathematics	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__mathematics_20260509_111805_004	contrastive/nogap	mathematics	hard	1800.0	600.0	bookworm
calibforge__contrastive_solver__mathematics_20260510_125534_002	contrastive/nogap	mathematics	hard	1800.0	1800.0	bookworm
calibforge__contrastive_solver__mathematics_20260510_142854_004	contrastive/nogap	mathematics	hard	1800.0	600.0	bookworm
calibforge__contrastive_solver__mathematics_20260514_011125_001	contrastive/nogap	mathematics	hard	1800.0	1800.0	bookworm
calibforge__contrastive_solver__mathematics_20260604_003113_002	contrastive/gap	mathematics	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__mathematics_20260606_172622_003	contrastive/nogap	mathematics	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__model-training_20260422_235114_001	contrastive/nogap	model-training	medium	600.0	600.0	ubuntu2404
calibforge__contrastive_solver__model-training_20260508_045740_001	contrastive/nogap	model-training	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__model-training_20260510_054909_003	contrastive/nogap	model-training	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__model-training_20260604_144210_002	contrastive/gap	model-training	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__model-training_20260606_153537_001	contrastive/nogap	model-training	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__model-training_20260617_210354_002	contrastive/gap	model-training	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__model-training_20260618_093107_004	contrastive/nogap	model-training	hard	3600.0	600.0	tb2verifier
calibforge__contrastive_solver__optimization_20260509_205636_001	contrastive/gap	optimization	hard	3600.0	3600.0	bookworm
calibforge__contrastive_solver__optimization_20260604_003113_001	contrastive/gap	optimization	medium	3600.0	3600.0	tb2verifier
calibforge__contrastive_solver__optimization_20260606_153537_001	contrastive/nogap	optimization	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__personal-assistant_20260514_010833_001	contrastive/nogap	personal-assistant	medium	1200.0	1200.0	ubuntu2404
calibforge__contrastive_solver__personal-assistant_20260606_172606_001	contrastive/nogap	personal-assistant	medium	1200.0	600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260420_020307_006	contrastive/nogap	scientific-computing	hard	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260422_235114_001	contrastive/nogap	scientific-computing	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260501_000112_002	contrastive/nogap	scientific-computing	hard	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260507_172207_001	contrastive/nogap	scientific-computing	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260508_045557_007	contrastive/nogap	scientific-computing	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260508_153434_004	contrastive/nogap	scientific-computing	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260509_111805_007	contrastive/nogap	scientific-computing	medium	900.0	900.0	bookworm
calibforge__contrastive_solver__scientific-computing_20260510_062946_006	contrastive/nogap	scientific-computing	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260510_142854_001	contrastive/nogap	scientific-computing	hard	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260514_012509_002	contrastive/nogap	scientific-computing	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__scientific-computing_20260602_105139_001	contrastive/nogap	scientific-computing	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260604_002443_001	contrastive/gap	scientific-computing	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260604_003814_007	contrastive/nogap	scientific-computing	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260606_153537_002	contrastive/nogap	scientific-computing	hard	3600.0	3600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260606_153537_003	contrastive/nogap	scientific-computing	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260606_153537_008	contrastive/nogap	scientific-computing	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260612_191200_007	contrastive/nogap	scientific-computing	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__scientific-computing_20260614_141608_001	contrastive/nogap	scientific-computing	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__security_20260422_235124_002	contrastive/nogap	security	hard	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__security_20260424_090344_007	contrastive/nogap	security	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__security_20260502_090008_008	contrastive/gap	security	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260507_172207_001	contrastive/nogap	security	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260508_045800_001	contrastive/nogap	security	medium	1200.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260508_153434_001	contrastive/nogap	security	medium	1200.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260508_180627_004	contrastive/nogap	security	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__security_20260510_005520_002	contrastive/nogap	security	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__security_20260510_062946_001	contrastive/nogap	security	medium	1200.0	1200.0	ubuntu2404
calibforge__contrastive_solver__security_20260604_003814_005	contrastive/gap	security	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__security_20260604_144210_003	contrastive/nogap	security	medium	1800.0	900.0	tb2verifier
calibforge__contrastive_solver__security_20260604_193356_006	contrastive/nogap	security	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260605_015435_007	contrastive/nogap	security	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__security_20260606_153537_001	contrastive/nogap	security	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260606_172554_001	contrastive/nogap	security	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260606_172622_004	contrastive/nogap	security	hard	600.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260607_104421_001	contrastive/gap	security	hard	1200.0	600.0	tb2verifier
calibforge__contrastive_solver__security_20260610_112157_005	contrastive/gap	security	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260422_235124_018	contrastive/gap	debugging	hard	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260422_235124_019	contrastive/gap	software-engineering	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260427_204204_018	contrastive/gap	debugging	hard	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260428_101637_011	contrastive/nogap	software-engineering	hard	1200.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260503_030115_016	contrastive/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260503_182123_016	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260505_093950_014	contrastive/gap	software-engineering	hard	2700.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260505_093950_015	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260505_093950_021	contrastive/nogap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260506_213248_005	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260507_093408_010	contrastive/gap	software-engineering	hard	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260507_170334_003	contrastive/nogap	software-engineering	hard	1800.0	900.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260508_045557_021	contrastive/nogap	software-engineering	hard	3600.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260508_045740_001	contrastive/gap	software-engineering	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260508_045800_003	contrastive/nogap	software-engineering	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260508_045800_014	contrastive/gap	software-engineering	hard	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260508_045800_022	contrastive/nogap	software-engineering	medium	1800.0	300.0	bookworm
calibforge__contrastive_solver__software-engineering_20260508_153434_005	contrastive/gap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260509_111805_010	contrastive/gap	software-engineering	hard	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260509_205636_025	contrastive/nogap	software-engineering	medium	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260510_005520_018	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260510_054909_023	contrastive/nogap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260510_062946_021	contrastive/nogap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260510_142854_004	contrastive/gap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260511_150433_003	contrastive/nogap	software-engineering	hard	900.0	600.0	bookworm
calibforge__contrastive_solver__software-engineering_20260511_150433_008	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260511_150433_009	contrastive/gap	software-engineering	medium	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260514_010833_004	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260514_012509_005	contrastive/gap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260514_012509_008	contrastive/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260528_174918_001	contrastive/gap	software-engineering	medium	600.0	600.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260528_174918_023	contrastive/gap	software-engineering	hard	600.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260601_053159_005	contrastive/gap	software-engineering	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260601_053159_008	contrastive/gap	software-engineering	hard	600.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260601_053159_010	contrastive/gap	software-engineering	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260601_053159_018	contrastive/gap	software-engineering	hard	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260602_105139_008	contrastive/gap	software-engineering	medium	600.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260602_105139_022	contrastive/nogap	software-engineering	medium	1200.0	1200.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260603_181444_019	contrastive/gap	debugging	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_003113_019	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_003113_024	contrastive/gap	software-engineering	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_003814_026	contrastive/gap	software-engineering	hard	900.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_004411_010	contrastive/gap	software-engineering	medium	600.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_004411_023	contrastive/gap	software-engineering	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_144210_023	contrastive/gap	software-engineering	hard	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_144210_024	contrastive/gap	software-engineering	hard	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193056_007	contrastive/gap	software-engineering	easy	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193056_011	contrastive/gap	software-engineering	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193056_026	contrastive/gap	software-engineering	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193356_014	contrastive/nogap	software-engineering	hard	1800.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_193356_019	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_194036_005	contrastive/gap	software-engineering	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_194036_009	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260604_194036_010	contrastive/gap	software-engineering	hard	900.0	300.0	ubuntu2404
calibforge__contrastive_solver__software-engineering_20260604_194036_018	contrastive/gap	software-engineering	hard	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260605_015435_004	contrastive/gap	software-engineering	hard	3600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260605_015435_020	contrastive/gap	software-engineering	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260605_015435_021	contrastive/nogap	software-engineering	hard	2700.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_153537_004	contrastive/gap	software-engineering	hard	3600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_153537_008	contrastive/gap	software-engineering	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_153537_022	contrastive/nogap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_172554_006	contrastive/gap	software-engineering	easy	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_172554_020	contrastive/gap	software-engineering	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_172622_010	contrastive/gap	software-engineering	hard	1800.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260606_172622_026	contrastive/gap	software-engineering	hard	1200.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260607_104421_009	contrastive/gap	software-engineering	easy	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260607_104421_016	contrastive/gap	software-engineering	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260607_104421_023	contrastive/gap	software-engineering	medium	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260607_104421_026	contrastive/gap	software-engineering	hard	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_111012_003	contrastive/gap	software-engineering	hard	600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_111012_005	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_111702_002	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_111702_013	contrastive/gap	software-engineering	hard	900.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260610_112157_024	contrastive/gap	software-engineering	medium	600.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260611_210349_005	contrastive/gap	software-engineering	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260611_210349_015	contrastive/gap	software-engineering	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260611_210349_025	contrastive/nogap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260612_191200_002	contrastive/gap	software-engineering	medium	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260612_191200_017	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260613_152233_010	contrastive/gap	software-engineering	hard	1800.0	120.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260613_152233_019	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260614_141608_005	contrastive/gap	software-engineering	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260615_143301_011	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260615_143956_003	contrastive/gap	software-engineering	hard	900.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260616_094815_008	contrastive/gap	software-engineering	hard	3600.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260616_102700_009	contrastive/gap	software-engineering	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_051646_015	contrastive/gap	software-engineering	hard	1800.0	600.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_210354_003	contrastive/gap	software-engineering	hard	600.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260617_210354_026	contrastive/gap	software-engineering	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260618_093107_019	contrastive/gap	software-engineering	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__software-engineering_20260618_093107_020	contrastive/gap	software-engineering	medium	600.0	300.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260415_002933_002	contrastive/nogap	system-administration	hard	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260422_235124_001	contrastive/nogap	system-administration	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260425_072438_005	contrastive/nogap	system-administration	medium	1800.0	300.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260501_051538_006	contrastive/nogap	system-administration	medium	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260503_182123_009	contrastive/nogap	system-administration	medium	900.0	600.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260505_093950_005	contrastive/nogap	system-administration	medium	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260509_020109_001	contrastive/nogap	system-administration	hard	1800.0	600.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260509_065529_002	contrastive/nogap	system-administration	hard	900.0	900.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260514_134238_005	contrastive/nogap	system-administration	medium	1800.0	1800.0	ubuntu2404
calibforge__contrastive_solver__system-administration_20260603_181444_005	contrastive/nogap	system-administration	medium	1800.0	1800.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260604_144210_003	contrastive/nogap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260604_194036_009	contrastive/gap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260606_153537_009	contrastive/gap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260610_111702_002	contrastive/nogap	system-administration	hard	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260610_111702_006	contrastive/nogap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260611_112034_003	contrastive/nogap	system-administration	medium	900.0	600.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260613_152233_006	contrastive/nogap	system-administration	medium	900.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260615_143956_007	contrastive/gap	system-administration	medium	1800.0	1800.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260616_094815_009	contrastive/gap	system-administration	medium	1200.0	900.0	tb2verifier
calibforge__contrastive_solver__system-administration_20260617_210354_005	contrastive/nogap	system-administration	medium	1800.0	1800.0	tb2verifier
